MonthlyIncome_z	Age_z	DistanceFromHome_z	NumCompaniesWorked_z	PercentSalaryHike_z	TotalWorkingYears_z	TrainingTimesLastYear_z	YearsAtCompany_z	YearsInCurrentRole_z	YearsSinceLastPromotion_z	YearsWithCurrManager_z	DRate_HRate_dv_z	MRate_DRate_dv_z	YAtCompany_TotalWorkY_dv_z	NumCompWork_TotalWorkY_dv_z	DailyRate_z	HourlyRate_z	MonthlyRate_z	MonthlyProfit_dv_z	Attrition_flag	OverTime_flag	BT_Non-Travel_flag	BT_Travel_Frequently_flag	Dep_Sales_flag	Dep_HR_flag	Educ_HR_flag	Educ_Marketing_flag	Educ_Medical_flag	Educ_LifeSciences_flag	Educ_TechDegree_flag	Gender_Female_flag	JR_LabTech_flag	JR_ResrchScist_flag	JR_HR_flag	JR_SalesRep_flag	JR_SalesExec_flag	JR_HealthcareRep_flag	JR_ManufctDirec_flag	JR_ResearchDirec_flag	JR_Manager_flag	MS_Single_flag	MS_Married_flag	Educ_low_flag	WLBalance_1_flag	WLBalance_2_flag	WLBalance_3_flag	EnvSatisf_1_flag	EnvSatisf_2_flag	EnvSatisf_4_flag	JInvolv_1_flag	JInvolv_2_flag	JInvolv_4_flag	RelSatisf_1_flag	RelSatisf_2_flag	RelSatisf_4_flag	JobSatisf_1_flag	JobSatisf_2_flag	JobSatisf_4_flag	JL_1_flag	JL_2_flag	JL_3_flag	JL_4_flag	PerfRating_3_flag	StockOpt_0_flag	StockOpt_1_flag	StockOpt_2_flag	NumCompaniesWorked_0_flag	YearsInCurrentRole_0_flag	YearsSinceLastPromotion_0_flag	YearsWithCurrManager_0_flag
0.6665258065883303	0.6518556701637165	0.0	0.9714998687141407	0.0	0.5009461815029508	0.0	0.4842285604090739	0.5871903918213076	0.0	0.659878664650796	0.47281071920032786	0.4874781560102581	0.7683179713006792	0.8160227715543268	0.7158196134574087	0.9142857142857143	0.6980525998795423	0.7116701639495469	1	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0
0.6173455032715415	0.8108572128061519	0.5598616529650713	0.0	0.938968406691434	0.5514318013566624	0.6300155102673728	0.5890023204859173	0.7163023562836078	0.6676738967841983	0.740074940797114	0.2373293195221882	0.8001470006647495	1.0	0.34707404609223225	0.12670007158196134	0.44285714285714284	0.916000803051596	0.856734383286831	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0
0.3013634155850291	0.5633380174010393	0.16845320497185953	0.8936106827905687	0.5020488587751691	0.47295706595569714	0.6300155102673728	0.0	0.0	0.0	0.0	0.5452316876205925	0.028868154918383092	0.0	0.788316626760853	0.9098067287043665	0.8857142857142857	0.012126079100582212	0.4077524384900962	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	1
0.42436473634453614	0.4672295306473304	0.2750185418947398	0.0	0.0	0.5009461815029508	0.6300155102673728	0.5407373159223302	0.7163023562836078	0.7924929904974088	0.0	0.7175498223557838	0.4756562524029226	1.0	0.39806580143162607	0.9234073013600572	0.37142857142857144	0.845814093555511	0.867641294071529	0	1	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1
0.4865144095706231	0.30492905026469114	0.16845320497185953	1.0	0.16119148642880446	0.4425695026924354	0.6300155102673728	0.31705935241720895	0.45840527449527413	0.744934034141695	0.4819007411986283	0.5421126944125367	0.5779400933020543	0.36548796931927924	0.8866181923113398	0.3500357909806729	0.14285714285714285	0.5837382051796828	0.7042451633730716	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0
0.44341257749002916	0.441829352728604	0.16845320497185953	0.0	0.29462825068071086	0.5009461815029508	0.4807714957147034	0.5137430391902874	0.7163023562836078	0.7924929904974088	0.7022205258643618	0.4967156066151785	0.40850900821603126	0.8848564274548599	0.39806580143162607	0.6463851109520401	0.7	0.39229070467777555	0.6035234164226255	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	0
0.3932493987711503	0.9839497329534153	0.2750185418947398	0.7606437753940114	0.8211032215206605	0.5964059306250815	0.6300155102673728	0.2422112556152789	0.0	0.0	0.0	0.5739861441010731	0.31995164317739294	0.1025851715431639	0.6075273485858452	0.8747315676449535	0.7285714285714285	0.31600080305159606	0.5688887864044089	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1
0.3963865486282369	0.3891645603716418	0.9301357462019375	0.0	0.9037101217455652	0.20375656473696982	0.4807714957147034	0.2422112556152789	0.0	0.0	0.0	0.6453055405342484	0.3723496251424353	1.0	0.8160227715543268	0.8990694345025053	0.5285714285714286	0.45135514956835976	0.6460903451933497	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	1
0.8043558832036326	0.5861236420594016	0.9146823296621448	0.0	0.8646307873937694	0.5514318013566624	0.4807714957147034	0.5657056495708565	0.7163023562836078	0.6676738967841983	0.774468971278986	0.25271992220671363	0.6492292319987509	0.9079899038394695	0.34707404609223225	0.0816034359341446	0.2	0.268741216623168	0.383655775128554	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0
0.6239633041646041	0.5400800735631394	0.973396404437607	0.8936106827905687	0.29462825068071086	0.6926953271811415	0.6300155102673728	0.5137430391902874	0.7163023562836078	0.897860833670482	0.740074940797114	0.5215597591579786	0.42378004941085684	0.4435650738713763	0.6190294761058418	0.8568360773085183	0.9142857142857143	0.5815298132905039	0.6621855327783799	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
